hhsize,nchildren,EarnedIncome,FoodStampAmount,state
2,0,0,0,AK
2,0,0,0,AK
4,2,0,950,AK
4,2,56,950,AK
2,0,3132,0,AK
2,0,3832,0,AK
4,0,2643,0,AK
4,0,2643,0,AK
1,0,4250,0,AK
1,0,4250,0,AK
7,5,11500,0,AK
7,5,7333,0,AK
2,0,4750,0,AK
2,0,4750,0,AK
1,0,0,0,AK
1,0,0,0,AK
5,2,10993,0,AK
5,2,10993,0,AK
2,0,15000,0,AK
2,0,15000,0,AK
2,0,15000,0,AK
2,0,15000,0,AK
6,4,2069,1847,AK
6,4,1669,894,AK
6,4,1669,894,AK
6,4,2069,894,AK
5,2,7890,0,AK
5,2,7890,0,AK
5,2,9314,0,AK
5,2,7890,0,AK
8,4,2500,350,AK
8,4,2980,0,AK
8,4,2500,0,AK
8,4,2500,0,AK
1,0,0,0,AK
2,0,0,0,AK
2,0,0,0,AK
2,0,0,0,AK
6,2,5675,0,AK
6,2,5895,0,AK
6,2,5675,0,AK
6,2,5895,0,AK
3,0,13329,0,AK
3,0,8280,0,AK
3,0,5778,0,AK
3,0,5778,0,AK
5,2,8166,0,AK
5,2,8166,0,AK
5,2,8166,0,AK
5,1,8459,0,AK
4,1,12717,10,AK
4,1,12717,10,AK
4,1,12717,10,AK
3,1,3936,0,AK
3,1,2936,43,AK
3,1,2436,0,AK
1,0,9108,0,AK
1,0,8599,0,AK
1,0,6496,0,AK
3,0,7798,0,AK
3,0,7798,0,AK
3,0,7798,0,AK
5,3,6100,0,AK
5,3,6100,0,AK
5,3,6100,0,AK
1,0,6667,0,AK
1,0,6667,0,AK
1,0,6667,0,AK
2,0,12564,0,AK
2,0,12055,0,AK
2,0,9952,0,AK
2,0,7598,0,AK
2,0,7598,0,AK
2,0,5974,0,AK
5,3,7939,0,AK
5,3,7939,0,AK
5,3,7939,0,AK
6,4,6894,0,AK
6,4,6894,0,AK
6,4,6894,0,AK
4,2,6500,0,AK
4,2,6500,0,AK
4,2,6500,0,AK
1,0,0,0,AK
1,0,0,0,AK
1,0,153,0,AK
1,0,160,0,AK
1,0,160,0,AK
1,0,160,0,AK
2,0,3500,0,AK
2,0,3500,0,AK
6,4,3019,0,AK
3,0,930,0,AK
1,0,0,0,AL
1,0,1344,0,AL
7,2,9120,0,AL
7,0,9120,0,AL
7,0,9120,0,AL
7,2,9905,0,AL
7,0,9905,0,AL
7,0,9905,0,AL
8,2,9120,300,AL
8,0,9120,300,AL
8,0,9120,300,AL
3,1,68387,0,AL
3,1,63092,0,AL
3,1,63092,0,AL
1,0,3200,0,AL
1,0,3200,0,AL
1,0,3200,0,AL
1,0,3200,0,AL
1,0,0,0,AL
1,0,0,0,AL
1,0,0,0,AL
4,0,1200,0,AL
4,0,1200,0,AL
4,0,1200,0,AL
4,0,1200,0,AL
1,0,0,0,AL
1,0,0,0,AL
1,0,0,0,AL
1,0,0,0,AL
1,0,0,0,AL
1,0,0,0,AL
1,0,0,0,AL
1,0,0,0,AL
3,1,2333,0,AL
3,1,2333,0,AL
3,1,2333,0,AL
3,1,2333,0,AL
1,0,0,0,AL
1,0,0,0,AL
1,0,0,0,AL
1,0,0,0,AL
2,0,0,0,AL
2,0,0,0,AL
2,0,0,0,AL
2,0,0,0,AL
2,0,0,0,AL
2,0,0,0,AL
2,0,0,0,AL
2,0,0,0,AL
3,0,4678,0,AL
3,0,4678,0,AL
3,0,4678,0,AL
3,0,4678,0,AL
2,0,6133,0,AL
2,0,6130,0,AL
2,0,6130,0,AL
2,0,6130,0,AL
1,0,0,149,AL
1,0,0,149,AL
1,0,0,149,AL
1,0,0,149,AL
1,0,0,10,AL
1,0,0,10,AL
1,0,0,10,AL
1,0,0,10,AL
2,0,5196,0,AL
2,0,5196,0,AL
2,0,5196,0,AL
2,0,5196,0,AL
2,0,5196,0,AL
2,0,5196,0,AL
2,0,5196,0,AL
2,0,5196,0,AL
1,0,432,0,AL
1,0,432,0,AL
1,0,432,0,AL
1,0,432,0,AL
4,2,5000,0,AL
4,2,5000,0,AL
4,2,5000,0,AL
4,2,5000,0,AL
3,1,0,68,AL
3,1,0,68,AL
3,1,0,68,AL
3,1,0,68,AL
2,0,0,0,AL
2,0,0,0,AL
2,0,0,0,AL
2,0,0,0,AL
1,0,0,0,AL
1,0,0,0,AL
1,0,0,0,AL
1,0,0,0,AL
1,0,450,0,AL
1,0,450,0,AL
1,0,450,0,AL
1,0,450,0,AL
2,0,1600,0,AL
2,0,1600,0,AL
2,0,1600,0,AL
2,0,1600,0,AL
1,0,0,0,AL
1,0,0,0,AL
1,0,0,0,AL
1,0,0,0,AL
2,0,1600,0,AL
