"id","nearc4","ed76","age76","daded","momed","momdad14","sinmom14","step14","reg661","reg662","reg663","reg664","reg665","reg666","reg667","reg668","reg669","south66","work76","lwage76","black","smsa66r","wage76","kww","iq","marsta76"
1,0,7,29,9.94,10.25,1,0,0,1,0,0,0,0,0,0,0,0,0,1,6.30627529,1,1,548,15,NA,1
2,0,12,27,8,8,1,0,0,1,0,0,0,0,0,0,0,0,0,1,6.17586727,0,1,481,35,93,1
3,0,12,34,14,12,1,0,0,1,0,0,0,0,0,0,0,0,0,1,6.58063914,0,1,721,42,103,1
4,1,11,27,11,12,1,0,0,0,1,0,0,0,0,0,0,0,0,1,5.52146092,0,1,250,25,88,1
5,1,12,34,8,7,1,0,0,0,1,0,0,0,0,0,0,0,0,1,6.59167373,0,1,729,34,108,1
6,1,12,26,9,12,1,0,0,0,1,0,0,0,0,0,0,0,0,1,6.2146081,0,1,500,38,85,1
7,1,18,33,14,14,1,0,0,0,1,0,0,0,0,0,0,0,0,1,6.33682573,0,1,565,41,119,1
8,1,14,29,14,14,1,0,0,0,1,0,0,0,0,0,0,0,0,1,6.41017488,0,1,608,46,108,1
9,1,12,28,12,12,1,0,0,0,1,0,0,0,0,0,0,0,0,1,6.05208917,0,1,425,32,96,4
10,1,12,29,12,12,1,0,0,0,1,0,0,0,0,0,0,0,0,1,6.2441669,0,1,515,34,97,1
11,1,9,28,11,12,1,0,0,0,0,0,0,0,0,0,0,1,0,1,5.4161004,0,1,225,29,84,1
12,1,12,26,11,6,1,0,0,0,1,0,0,0,0,0,0,0,0,1,5.99146455,0,1,400,34,89,1
13,1,11,24,11,6,1,0,0,0,1,0,0,0,0,0,0,0,0,1,6.03308622,0,1,417,22,93,1
14,1,11,30,11,6,1,0,0,0,1,0,0,0,0,0,0,0,0,1,5.37989735,0,1,217,27,74,1
15,1,16,31,9.94,8,0,1,0,0,1,0,0,0,0,0,0,0,0,1,6.79570578,1,1,894,43,116,1
16,1,14,24,15,12,1,0,0,0,1,0,0,0,0,0,0,0,0,1,5.70378247,0,1,300,36,NA,6
17,1,11,34,7,12,1,0,0,0,1,0,0,0,0,0,0,0,0,0,NA,0,1,NA,37,104,1
18,1,12,34,12,8,1,0,0,0,1,0,0,0,0,0,0,0,0,1,5.84643878,0,1,346,40,93,1
19,1,14,29,9.94,12,0,1,0,0,1,0,0,0,0,0,0,0,0,1,6.48920493,0,1,658,35,100,1
20,1,10,26,8,8,1,0,0,0,1,0,0,0,0,0,0,0,0,1,6.35437004,0,1,575,24,91,6
21,1,10,27,9.94,8,1,0,0,0,1,0,0,0,0,0,0,0,0,0,NA,0,1,NA,38,82,1
22,1,12,32,8,8,1,0,0,0,1,0,0,0,0,0,0,0,0,1,6.47543272,0,1,649,35,88,1
23,1,18,32,12,13,1,0,0,1,0,0,0,0,0,0,0,0,0,1,6.85012617,0,1,944,43,NA,1
24,1,18,34,9.94,8,1,0,0,1,0,0,0,0,0,0,0,0,0,1,6.41999493,0,1,614,50,114,1
25,1,15,32,5,14,1,0,0,1,0,0,0,0,0,0,0,0,0,1,6.58755001,0,1,726,37,111,1
26,1,12,28,14,12,1,0,0,1,0,0,0,0,0,0,0,0,0,1,6.4035742,0,1,604,44,NA,1
27,1,12,32,11,12,1,0,0,1,0,0,0,0,0,0,0,0,0,1,6.54103,0,1,693,44,95,1
28,1,14,25,8,12,1,0,0,1,0,0,0,0,0,0,0,0,0,0,NA,0,1,NA,30,94,6
29,1,18,34,14,13,1,0,0,1,0,0,0,0,0,0,0,0,0,1,7.24422752,0,1,1400,44,132,1
30,1,12,26,7,12,1,0,0,1,0,0,0,0,0,0,0,0,0,1,5.70378247,0,1,300,27,NA,6
31,1,18,32,16,16,1,0,0,0,1,0,0,0,0,0,0,0,0,1,7.49554194,0,1,1800,38,109,5
32,1,12,25,11,12,1,0,0,1,0,0,0,0,0,0,0,0,0,1,6.02344759,0,1,413,43,108,1
33,1,14,29,9.94,16,0,1,0,1,0,0,0,0,0,0,0,0,0,1,6.44888939,0,0,632,45,102,1
