"year","statefip","age","sex","empstat","educ","wkswork1","uhrsworkly","incwage"
2010,"north dakota",41,"male","at work","high school diploma or equivalent",52,90,117000
2010,"north carolina",39,"male","at work","bachelor's degree",52,40,60000
2017,"new hampshire",54,"female","at work","bachelor's degree",40,40,60000
2010,"illinois",31,"male","unemployed, experienced worker","some college but no degree",44,45,30000
2017,"hawaii",21,"female","nilf, other","associate's degree, academic program",20,16,3000
2010,"kentucky",54,"male","at work","bachelor's degree",17,40,60000
2010,"massachusetts",31,"male","has job, not at work last week","high school diploma or equivalent",52,35,20000
2010,"texas",29,"male","at work","high school diploma or equivalent",52,40,10000
2010,"hawaii",41,"female","at work","high school diploma or equivalent",52,24,18000
2017,"oklahoma",21,"male","at work","high school diploma or equivalent",52,35,16600
2010,"maine",40,"female","at work","master's degree",52,40,18002
2000,"indiana",34,"male","at work","high school diploma or equivalent",52,40,21000
2010,"pennsylvania",53,"female","at work","bachelor's degree",52,44,34000
2017,"washington",18,"male","at work","high school diploma or equivalent",26,10,4000
2010,"california",50,"male","at work","some college but no degree",52,40,40000
2017,"florida",64,"female","nilf, retired","some college but no degree",30,35,25000
2000,"new jersey",46,"male","at work","bachelor's degree",52,40,30000
2010,"oregon",47,"female","at work","associate's degree, occupational/vocational program",52,40,25000
2017,"virginia",45,"male","at work","bachelor's degree",30,50,200000
2010,"connecticut",48,"male","at work","master's degree",52,60,13000
2010,"florida",44,"female","at work","bachelor's degree",52,40,70000
2010,"new hampshire",53,"male","at work","professional school degree",52,50,409068
2017,"rhode island",42,"male","at work","associate's degree, academic program",52,48,65000
2017,"texas",24,"female","at work","bachelor's degree",52,40,30000
2017,"north carolina",63,"male","at work","grades 7 or 8",52,40,50000
2017,"washington",53,"male","at work","bachelor's degree",52,45,403000
2000,"new hampshire",61,"male","at work","grades 7 or 8",50,43,24500
2000,"minnesota",45,"male","at work","high school diploma or equivalent",52,55,60000
2010,"virginia",49,"male","at work","some college but no degree",52,40,30000
2010,"maine",30,"male","unemployed, experienced worker","high school diploma or equivalent",42,35,30000
2010,"illinois",39,"male","at work","master's degree",11,40,21000
2017,"montana",19,"male","unemployed, experienced worker","some college but no degree",52,40,10000
2010,"florida",39,"female","at work","bachelor's degree",52,40,70000
2000,"new york",44,"female","at work","bachelor's degree",52,50,20000
2010,"georgia",40,"male","at work","high school diploma or equivalent",16,35,14000
2010,"missouri",41,"male","unemployed, experienced worker","associate's degree, academic program",52,35,5000
2000,"rhode island",38,"female","at work","grade 11",28,48,6000
2010,"georgia",49,"female","at work","high school diploma or equivalent",52,40,40000
2017,"california",43,"male","at work","high school diploma or equivalent",52,40,22000
2010,"oregon",39,"male","at work","bachelor's degree",52,50,85000
2010,"maryland",20,"female","at work","some college but no degree",52,5,5000
2000,"rhode island",54,"female","at work","grade 10",47,38,13000
2010,"pennsylvania",31,"female","nilf, other","high school diploma or equivalent",20,25,13000
2017,"michigan",53,"male","at work","professional school degree",52,45,90000
2010,"indiana",41,"female","has job, not at work last week","associate's degree, academic program",52,40,45000
2000,"florida",37,"female","has job, not at work last week","high school diploma or equivalent",52,40,25000
2000,"new york",42,"female","at work","high school diploma or equivalent",50,40,4500
2017,"texas",49,"male","at work","bachelor's degree",52,55,120000
2017,"michigan",51,"female","at work","some college but no degree",52,40,50000
2010,"north carolina",42,"male","has job, not at work last week","some college but no degree",52,40,35000
2010,"ohio",38,"female","at work","professional school degree",52,50,45000
2000,"delaware",35,"male","at work","master's degree",52,40,72037
2017,"ohio",47,"female","at work","master's degree",50,40,65000
2000,"florida",40,"female","at work","high school diploma or equivalent",36,40,22320
2000,"new jersey",52,"female","at work","high school diploma or equivalent",48,12,4000
2010,"california",33,"female","at work","bachelor's degree",52,40,55000
2000,"west virginia",45,"male","at work","high school diploma or equivalent",52,40,31200
2000,"california",32,"male","at work","bachelor's degree",52,40,18000
2010,"iowa",39,"male","at work","some college but no degree",52,40,46800
2017,"delaware",42,"female","at work","high school diploma or equivalent",52,40,28000
2000,"illinois",31,"female","at work","master's degree",52,30,25000
2010,"idaho",50,"female","has job, not at work last week","high school diploma or equivalent",40,38,24000
2000,"maine",52,"female","at work","high school diploma or equivalent",52,22,13100
2010,"minnesota",21,"female","at work","some college but no degree",32,40,5100
2017,"maryland",37,"female","has job, not at work last week","master's degree",52,40,65000
2010,"south dakota",19,"male","nilf, other","high school diploma or equivalent",10,25,2000
2000,"alabama",36,"female","at work","high school diploma or equivalent",52,65,27000
2000,"kansas",20,"female","at work","high school diploma or equivalent",52,32,18618
2000,"wisconsin",42,"female","at work","bachelor's degree",52,45,38000
2000,"illinois",20,"male","has job, not at work last week","some college but no degree",52,8,3000
2000,"indiana",36,"male","at work","associate's degree, occupational/vocational program",52,45,38000
2017,"montana",28,"male","at work","bachelor's degree",48,60,26000
2010,"texas",28,"female","at work","high school diploma or equivalent",52,40,12000
2010,"south dakota",63,"female","at work","high school diploma or equivalent",52,35,20000
2010,"michigan",53,"male","at work","high school diploma or equivalent",52,40,60000
2017,"colorado",61,"male","at work","bachelor's degree",52,40,60000
2010,"tennessee",31,"female","nilf, other","bachelor's degree",20,40,19000
2010,"pennsylvania",58,"female","at work","associate's degree, academic program",26,28,2000
2017,"oklahoma",26,"male","at work","high school diploma or equivalent",52,50,25002
2010,"washington",43,"female","at work","bachelor's degree",52,40,70000
2000,"new york",49,"male","at work","associate's degree, academic program",52,48,6000
2000,"california",22,"female","at work","grade 9",52,40,14400
2000,"nevada",37,"male","at work","high school diploma or equivalent",52,40,70037
2017,"massachusetts",52,"male","at work","high school diploma or equivalent",52,50,27040
2000,"ohio",29,"female","at work","bachelor's degree",22,37,7000
2010,"virginia",37,"female","at work","associate's degree, academic program",52,40,32000
2010,"california",22,"male","at work","grade 9",49,38,17002
2010,"pennsylvania",55,"female","at work","associate's degree, occupational/vocational program",52,40,54000
2010,"delaware",28,"female","at work","bachelor's degree",52,40,40000
2000,"new york",48,"female","at work","bachelor's degree",50,50,39000
2010,"iowa",25,"female","nilf, other","associate's degree, academic program",36,20,2100
2000,"illinois",25,"male","at work","grades 7 or 8",52,40,10000
2017,"washington",27,"male","at work","associate's degree, academic program",52,40,36000
2000,"new york",53,"female","at work","high school diploma or equivalent",52,20,16000
2000,"tennessee",31,"female","at work","associate's degree, academic program",52,40,22000
2010,"hawaii",47,"male","at work","bachelor's degree",52,45,135000
2017,"california",54,"female","at work","bachelor's degree",52,40,200000
2000,"north dakota",39,"male","at work","high school diploma or equivalent",52,40,24000
2010,"texas",33,"female","at work","associate's degree, occupational/vocational program",52,40,42000
2010,"michigan",52,"female","at work","associate's degree, academic program",12,20,5000
2017,"oregon",19,"male","nilf, other","high school diploma or equivalent",16,20,3000
2000,"indiana",42,"male","at work","high school diploma or equivalent",52,40,21880
2010,"illinois",64,"male","at work","bachelor's degree",52,40,50000
2010,"new york",40,"male","at work","some college but no degree",52,40,70000
2000,"florida",19,"male","at work","grade 11",52,25,7000
2000,"wisconsin",24,"male","at work","some college but no degree",52,40,47640
2010,"pennsylvania",45,"female","at work","high school diploma or equivalent",40,40,24250
2017,"idaho",28,"male","at work","some college but no degree",52,25,14000
2017,"north dakota",26,"male","at work","high school diploma or equivalent",52,95,110000
2010,"vermont",29,"male","at work","bachelor's degree",52,40,37000
2000,"georgia",24,"male","at work","some college but no degree",52,70,42000
2017,"north carolina",44,"male","at work","high school diploma or equivalent",52,40,40000
2010,"maryland",45,"female","at work","bachelor's degree",52,40,53000
2000,"new jersey",38,"male","at work","associate's degree, occupational/vocational program",52,40,229339
2010,"district of columbia",41,"male","at work","professional school degree",52,50,409068
2010,"california",40,"male","unemployed, experienced worker","high school diploma or equivalent",8,40,2880
2017,"ohio",27,"female","at work","some college but no degree",52,48,23000
2010,"illinois",58,"female","at work","high school diploma or equivalent",52,40,24000
2017,"massachusetts",29,"female","at work","master's degree",15,40,29500
2017,"california",56,"female","has job, not at work last week","grade 11",52,40,55000
2010,"new jersey",51,"male","at work","associate's degree, occupational/vocational program",52,40,32000
2010,"colorado",50,"female","at work","grade 9",52,46,18654
2017,"iowa",58,"female","at work","high school diploma or equivalent",52,40,22880
2010,"maine",29,"female","at work","some college but no degree",52,60,53000
2000,"arizona",43,"female","at work","associate's degree, academic program",52,99,8400
2017,"idaho",48,"male","at work","high school diploma or equivalent",52,40,40000
2017,"kansas",31,"female","at work","bachelor's degree",52,42,55500
2010,"new jersey",23,"male","at work","associate's degree, occupational/vocational program",52,40,20000
2000,"tennessee",52,"male","at work","some college but no degree",52,40,88000
2010,"north carolina",39,"male","at work","bachelor's degree",52,60,42500
2010,"pennsylvania",36,"male","nilf, other","high school diploma or equivalent",52,40,93900
2017,"louisiana",30,"male","nilf, other","associate's degree, occupational/vocational program",52,40,40000
2017,"texas",47,"male","at work","bachelor's degree",52,40,100000
2017,"oklahoma",36,"male","at work","doctorate degree",51,40,200000
2010,"maryland",31,"male","at work","bachelor's degree",52,40,41000
2010,"nevada",41,"male","at work","high school diploma or equivalent",52,32,11845
2017,"pennsylvania",37,"male","at work","master's degree",52,40,96000
2010,"connecticut",30,"male","at work","associate's degree, occupational/vocational program",52,37,58000
2010,"oklahoma",45,"male","at work","high school diploma or equivalent",52,80,58000
2010,"virginia",53,"female","at work","grade 9",52,40,40000
2017,"texas",21,"female","at work","some college but no degree",52,15,7500
2017,"new mexico",56,"female","at work","grades 1, 2, 3, or 4",52,21,8000
2017,"maryland",40,"male","at work","bachelor's degree",52,45,39000
2017,"ohio",21,"female","at work","some college but no degree",20,4,13000
2000,"missouri",42,"male","at work","high school diploma or equivalent",52,50,52000
2010,"california",31,"male","at work","associate's degree, academic program",52,40,67000
2017,"california",46,"female","at work","high school diploma or equivalent",52,20,18000
2010,"mississippi",55,"female","has job, not at work last week","some college but no degree",52,40,48000
2017,"california",29,"male","at work","high school diploma or equivalent",51,40,80000
2010,"north carolina",26,"male","at work","some college but no degree",52,40,38000
2000,"california",35,"male","at work","grades 5 or 6",52,40,12000
2017,"alabama",42,"female","at work","master's degree",52,40,45000
2010,"california",26,"male","unemployed, experienced worker","grade 11",52,48,11000
2017,"new york",48,"male","at work","master's degree",51,37,27500
2017,"wisconsin",51,"female","at work","bachelor's degree",52,45,55000
2010,"california",41,"male","unemployed, experienced worker","grade 9",32,50,50000
2010,"maryland",54,"male","has job, not at work last week","professional school degree",52,60,178000
2017,"south carolina",60,"female","nilf, other","grade 9",16,20,2960
2010,"pennsylvania",27,"female","at work","some college but no degree",52,41,48000
2017,"vermont",61,"male","at work","associate's degree, academic program",52,40,76000
2000,"new york",48,"male","at work","bachelor's degree",52,40,60000
2017,"california",22,"male","at work","associate's degree, academic program",27,37,6662
2017,"connecticut",20,"male","at work","high school diploma or equivalent",52,32,16500
2000,"district of columbia",53,"male","at work","some college but no degree",48,50,14000
2017,"new hampshire",26,"male","at work","bachelor's degree",52,40,60000
2017,"wisconsin",23,"male","at work","bachelor's degree",52,45,46000
2010,"arkansas",34,"male","unemployed, experienced worker","high school diploma or equivalent",40,40,20000
2000,"connecticut",26,"female","at work","some college but no degree",52,40,32000
2017,"california",26,"female","at work","high school diploma or equivalent",52,60,70000
2010,"arizona",41,"female","at work","bachelor's degree",52,50,71000
2010,"ohio",56,"female","nilf, retired","some college but no degree",10,4,1000
2017,"new york",35,"female","at work","high school diploma or equivalent",52,40,32000
