"student","week","attendance","grade","Roster","TA","attendance_prior","Reason","noclass","affectedweek","noprior"
4,1,1,23.8665034361444,1,"ThatGuy",NA,"",0,0,NA
4,10,1,24.2539419763117,1,"ThatGuy",1,"",0,0,0
4,11,1,25.0129899306016,1,"ThatGuy",1,"",0,1,0
4,2,1,24.1778819480764,1,"ThatGuy",1,"",0,1,0
4,3,0,25.151800481871,1,"ThatGuy",1,"",0,0,0
4,4,0,25.3760269976305,1,"ThatGuy",0,"Canceled",1,1,1
4,5,1,23.6834586475379,1,"ThatGuy",0,"",0,0,1
4,6,0,23.11432307245,1,"ThatGuy",1,"",0,0,0
4,7,1,25.3917973389254,1,"ThatGuy",0,"",0,0,1
4,8,1,21.5810082197013,1,"ThatGuy",1,"",0,0,0
4,9,1,24.8029535217398,1,"ThatGuy",1,"",0,1,0
53,1,1,24.8274349368615,6,"ThatGuy",NA,"",0,0,NA
53,10,1,23.6410345412071,6,"ThatGuy",0,"",0,0,1
53,11,0,16.7198198915538,6,"ThatGuy",1,"Holiday",1,1,0
53,2,1,23.6098470829624,6,"ThatGuy",1,"",0,1,0
53,3,1,23.9565026851506,6,"ThatGuy",1,"",0,0,0
53,4,1,25.6584232594932,6,"ThatGuy",1,"",0,1,0
53,5,1,24.0026044826192,6,"ThatGuy",1,"",0,0,0
53,6,1,21.7326252842438,6,"ThatGuy",1,"",0,0,0
53,7,0,23.2307552710259,6,"ThatGuy",1,"",0,0,0
53,8,1,23.0157481437163,6,"ThatGuy",0,"",0,0,1
53,9,0,23.9945304414003,6,"ThatGuy",1,"Canceled",1,1,0
13,1,1,21.2855207242752,1,"ThatGuy",NA,"",0,0,NA
13,10,1,25.4027900290574,1,"ThatGuy",1,"",0,0,0
13,11,1,24.2376681311982,1,"ThatGuy",1,"",0,1,0
13,2,1,21.4707168370122,1,"ThatGuy",1,"",0,1,0
13,3,1,20.2696398534382,1,"ThatGuy",1,"",0,0,0
13,4,0,18.5134727041102,1,"ThatGuy",1,"Canceled",1,1,0
